P(a | i.) 0.04067660088602497
P(out. | sprang) 0.04067660088602497
P(he | out.) 0.042383550146873686
P(remarkably | a) 0.004813420387933088
P(man, | handsome) 0.042383550146873686
P(dark, | man,) 0.04067660088602497
P(aquiline, | dark,) 0.04067660088602497
P(and | aquiline,) 0.042383550146873686
P(moustached—evidently | and) 0.004636643253913602
P(the | moustached—evidently) 0.042383550146873686
P(whom | of) 0.004375514447862063
P(heard. | had) 0.014673834083975011
P(he | heard.) 0.042383550146873686
P(hurry, | great) 0.037644427879239654
P(shouted | hurry,) 0.042383550146873686
P(to | shouted) 0.04067660088602497
P(cabman | the) 0.0026521019877635693
P(wait, | to) 0.004790589574538728
P(and | wait,) 0.042383550146873686
P(brushed | and) 0.004636643253913602
P(past | brushed) 0.042383550146873686
P(maid | the) 0.0026521019877635693
P(who | maid) 0.04067660088602497
P(opened | who) 0.019870155420027544
P(the | opened) 0.042383550146873686
P(with | door) 0.03503295178633368
P(air | the) 0.0026521019877635693
P(of | air) 0.042383550146873686
P(was | who) 0.0395435766279756
P(thoroughly | was) 0.00842860719352416
P(at | thoroughly) 0.042383550146873686
P(home. | at) 0.013867911574900454
P(was | “he) 0.03910181958962446
P(in | was) 0.01677376283067679
P(about | house) 0.03629177146963708
P(half | about) 0.03276029841063899
P(an | half) 0.033858531679517266
P(hour, | an) 0.023581601681064674
P(catch | could) 0.023581601681064674
P(glimpses | catch) 0.042383550146873686
P(of | glimpses) 0.042383550146873686
P(in | him) 0.030764544623819678
P(windows | the) 0.0026521019877635693
P(of | windows) 0.04067660088602497
P(sitting-room, | the) 0.0026521019877635693
P(pacing | sitting-room,) 0.042383550146873686
P(up | pacing) 0.04067660088602497
P(down, | and) 0.004636643253913602
P(talking | down,) 0.042383550146873686
P(and | excitedly,) 0.042383550146873686
P(waving | and) 0.004636643253913602
P(his | waving) 0.042383550146873686
P(arms. | his) 0.008499537153917361
P(of | arms.) 0.042383550146873686
P(i | her) 0.02111645410830023
P(see | could) 0.04692972215736633
P(nothing. | see) 0.03276029841063899
P(presently | nothing.) 0.042383550146873686
P(emerged, | he) 0.009918491603653148
P(looking | emerged,) 0.042383550146873686
P(even | looking) 0.04067660088602497
P(more | even) 0.03910181958962446
P(flurried | more) 0.037644427879239654
P(than | flurried) 0.042383550146873686
P(before. | than) 0.03276029841063899
P(as | before.) 0.042383550146873686
P(stepped | he) 0.009918491603653148
P(up | stepped) 0.04067660088602497
P(cab, | the) 0.0026521019877635693
P(he | cab,) 0.042383550146873686
P(pulled | he) 0.009918491603653148
P(a | pulled) 0.03910181958962446
P(gold | a) 0.004813420387933088
P(watch | gold) 0.04067660088602497
P(from | watch) 0.03629177146963708
P(pocket | his) 0.008499537153917361
P(and | pocket) 0.042383550146873686
P(at | looked) 0.03276029841063899
P(it | at) 0.013867911574900454
P(‘drive | earnestly,) 0.042383550146873686
P(like | ‘drive) 0.042383550146873686
P(the | like) 0.03503295178633368
P(devil,’ | the) 0.0026521019877635693
P(he | devil,’) 0.042383550146873686
P(shouted, | he) 0.009918491603653148
P(‘first | shouted,) 0.042383550146873686
P(to | ‘first) 0.042383550146873686
P(gross | to) 0.004790589574538728
P(& | gross) 0.042383550146873686
P(in | hankey’s) 0.042383550146873686
P(regent | in) 0.006786266209769535
P(street, | regent) 0.042383550146873686
P(and | street,) 0.13909122441900795
P(to | then) 0.06314797360980207
P(church | the) 0.005277945540004726
P(of | church) 0.11218784942228847
P(st. | of) 0.013039899493133474
P(monica | st.) 0.037644427879239654
P(in | monica) 0.042383550146873686
P(road. | edgeware) 0.08095046314941601
P(half | road.) 0.04067660088602497
P(guinea | a) 0.004813420387933088
P(if | guinea) 0.042383550146873686
P(in | it) 0.027158711540196695
P(twenty | in) 0.020224417120204258
P(minutes!’ | twenty) 0.03910181958962446
P(they | “away) 0.042383550146873686
P(went, | they) 0.028997990238300318
P(and | went,) 0.042383550146873686
P(just | was) 0.025118918467829425
P(wondering | just) 0.029855158143659476
P(whether | wondering) 0.042383550146873686
P(not | should) 0.028997990238300318
P(do | not) 0.015823280589064705
P(well | do) 0.02203796639755619
P(them | follow) 0.037644427879239654
P(when | them) 0.037644427879239654
P(up | when) 0.026010816379088336
P(the | up) 0.060405378286172984
P(lane | the) 0.0026521019877635693
P(came | lane) 0.04067660088602497
P(a | came) 0.03503295178633368
P(neat | a) 0.004813420387933088
P(little | neat) 0.042383550146873686
P(landau, | little) 0.028188668713368687
P(the | landau,) 0.042383550146873686
P(coachman | the) 0.0026521019877635693
P(coat | his) 0.008499537153917361
P(only | coat) 0.042383550146873686
P(half-buttoned, | only) 0.033858531679517266
P(and | half-buttoned,) 0.042383550146873686
P(tie | his) 0.008499537153917361
P(under | tie) 0.042383550146873686
P(ear, | his) 0.008499537153917361
P(while | ear,) 0.04067660088602497
P(all | while) 0.03276029841063899
P(tags | the) 0.0026521019877635693
P(of | tags) 0.042383550146873686
P(harness | his) 0.008499537153917361
P(were | harness) 0.042383550146873686
P(sticking | were) 0.02414535022710973
P(out | sticking) 0.042383550146873686
P(buckles. | the) 0.0026521019877635693
P(it | buckles.) 0.042383550146873686
P(hadn’t | it) 0.018135883785978524
P(up | pulled) 0.03910181958962446
P(before | up) 0.02026891430864941
P(she | before) 0.029855158143659476
P(shot | she) 0.015579207157180319
P(out | shot) 0.042383550146873686
P(door | hall) 0.04067660088602497
P(and | door) 0.03503295178633368
P(into | and) 0.004636643253913602
P(it. | into) 0.02203796639755619
P(only | i) 0.005292668867578473
P(a | caught) 0.07781649245063878
P(glimpse | a) 0.009579183148262877
P(of | glimpse) 0.08095046314941601
P(at | her) 0.02111645410830023
P(moment, | the) 0.0026521019877635693
P(but | moment,) 0.04067660088602497
P(was | she) 0.015579207157180319
P(lovely | a) 0.004813420387933088
P(woman, | lovely) 0.042383550146873686
P(with | woman,) 0.04067660088602497
P(face | a) 0.004813420387933088
P(that | face) 0.03629177146963708
P(a | that) 0.010324031483185118
P(might | man) 0.028188668713368687
P(die | might) 0.033858531679517266
P(for. | die) 0.042383550146873686
P(church | “‘the) 0.042383550146873686
P(monica, | st.) 0.037644427879239654
P(john,’ | monica,) 0.042383550146873686
P(she | john,’) 0.042383550146873686
P(cried, | she) 0.015579207157180319
P(‘and | cried,) 0.04067660088602497
P(half | ‘and) 0.08095046314941601
P(sovereign | a) 0.009579183148262877
P(if | sovereign) 0.08095046314941601
P(reach | you) 0.021652483033502097
P(it | reach) 0.08095046314941601
P(minutes.’ | twenty) 0.03910181958962446
P(was | “this) 0.033858531679517266
P(quite | was) 0.00842860719352416
P(good | too) 0.03503295178633368
P(to | good) 0.03276029841063899
P(lose, | to) 0.004790589574538728
P(watson. | lose,) 0.042383550146873686
P(i | watson.) 0.04067660088602497
P(balancing | just) 0.029855158143659476
P(whether | balancing) 0.04067660088602497
P(run | should) 0.028997990238300318
P(for | run) 0.042383550146873686
P(it, | for) 0.018090632276553824
P(or | it,) 0.03503295178633368
P(whether | or) 0.023581601681064674
P(perch | should) 0.028997990238300318
P(behind | perch) 0.042383550146873686
P(her | behind) 0.03910181958962446
P(landau | her) 0.02111645410830023
P(when | landau) 0.03910181958962446
P(came | cab) 0.03910181958962446
P(through | came) 0.03503295178633368
P(the | through) 0.11218784942228847
P(the | street.) 0.03629177146963708
P(driver | the) 0.0026521019877635693
P(looked | driver) 0.042383550146873686
P(twice | looked) 0.03276029841063899
P(at | twice) 0.03629177146963708
P(such | at) 0.013867911574900454
P(a | such) 0.033858531679517266
P(shabby | a) 0.004813420387933088
P(but | fare,) 0.042383550146873686
P(jumped | i) 0.005292668867578473
P(in | jumped) 0.042383550146873686
P(before | in) 0.006786266209769535
P(he | before) 0.029855158143659476
P(object. | could) 0.023581601681064674
P(‘the | object.) 0.042383550146873686
P(church | ‘the) 0.042383550146873686
P(said | monica,’) 0.042383550146873686
P(‘and | i,) 0.04067660088602497
P(it | minutes.’) 0.04067660088602497
P(twenty-five | was) 0.00842860719352416
P(minutes | twenty-five) 0.042383550146873686
P(to | minutes) 0.0673818303721086
P(twelve, | to) 0.004790589574538728
P(and | twelve,) 0.042383550146873686
P(of | and) 0.004636643253913602
P(course | of) 0.004375514447862063
P(it | course) 0.042383550146873686
P(enough | clear) 0.04067660088602497
P(what | enough) 0.037644427879239654
P(wind. | the) 0.0026521019877635693
P(cabby | “my) 0.03503295178633368
P(drove | cabby) 0.042383550146873686
P(fast. | drove) 0.037644427879239654
P(i | fast.) 0.042383550146873686
P(think | don’t) 0.03910181958962446
P(i | think) 0.03629177146963708
P(ever | i) 0.010532935073101712
P(drove | ever) 0.04067660088602497
P(faster, | drove) 0.037644427879239654
P(but | faster,) 0.042383550146873686
P(others | the) 0.0026521019877635693
P(there | were) 0.02414535022710973
P(before | there) 0.02203796639755619
P(us. | before) 0.029855158143659476
P(the | us.) 0.042383550146873686
P(cab | the) 0.0026521019877635693
P(and | cab) 0.03910181958962446
P(landau | the) 0.0026521019877635693
P(with | landau) 0.03910181958962446
P(their | with) 0.025178504321683576
P(steaming | their) 0.0317310713163682
P(horses | steaming) 0.042383550146873686
P(in | were) 0.02414535022710973
P(when | door) 0.03503295178633368
P(arrived. | i) 0.005292668867578473
P(i | arrived.) 0.042383550146873686
P(paid | i) 0.005292668867578473
P(the | paid) 0.042383550146873686
P(and | man) 0.028188668713368687
P(hurried | and) 0.004636643253913602
P(church. | the) 0.0026521019877635693
P(there | church.) 0.04067660088602497
P(a | not) 0.015823280589064705
P(there | soul) 0.037644427879239654
P(save | there) 0.02203796639755619
P(the | save) 0.03910181958962446
P(whom | two) 0.029855158143659476
P(and | followed) 0.04067660088602497
P(surpliced | a) 0.004813420387933088
P(clergyman, | surpliced) 0.042383550146873686
P(who | clergyman,) 0.042383550146873686
P(seemed | who) 0.019870155420027544
P(to | seemed) 0.08095046314941601
P(expostulating | be) 0.014673834083975011
P(with | expostulating) 0.042383550146873686
P(they | them.) 0.042383550146873686
P(all | were) 0.04805163758068372
P(three | all) 0.02473671320107764
P(standing | three) 0.03276029841063899
P(in | standing) 0.042383550146873686
P(knot | a) 0.004813420387933088
P(in | knot) 0.04067660088602497
P(altar. | the) 0.0026521019877635693
P(i | altar.) 0.042383550146873686
P(up | lounged) 0.04067660088602497
P(side | the) 0.0026521019877635693
P(aisle | side) 0.03910181958962446
P(like | aisle) 0.042383550146873686
P(any | like) 0.03503295178633368
P(idler | other) 0.0317310713163682
P(who | idler) 0.042383550146873686
P(dropped | has) 0.02473671320107764
P(into | dropped) 0.04067660088602497
P(a | into) 0.02203796639755619
P(suddenly, | church.) 0.04067660088602497
P(to | suddenly,) 0.042383550146873686
P(surprise, | my) 0.01265188525616936
P(the | surprise,) 0.042383550146873686
P(three | the) 0.0026521019877635693
P(at | three) 0.03276029841063899
P(altar | the) 0.0026521019877635693
P(faced | altar) 0.042383550146873686
P(round | faced) 0.042383550146873686
P(to | round) 0.037644427879239654
P(and | me,) 0.037644427879239654
P(godfrey | and) 0.004636643253913602
P(came | norton) 0.04067660088602497
P(running | came) 0.03503295178633368
P(as | running) 0.03910181958962446
P(hard | as) 0.013867911574900454
P(as | hard) 0.042383550146873686
P(towards | could) 0.023581601681064674
P(me. | towards) 0.04067660088602497
P(god,’ | “‘thank) 0.042383550146873686
P(he | god,’) 0.042383550146873686
P(cried. | he) 0.009918491603653148
P(‘you’ll | cried.) 0.042383550146873686
P(do. | ‘you’ll) 0.042383550146873686
P(come! | do.) 0.042383550146873686
P(come!’ | come!) 0.042383550146873686
P(then?’ | “‘what) 0.042383550146873686
P(i | then?’) 0.042383550146873686
P(man, | “‘come,) 0.042383550146873686
P(come, | man,) 0.04067660088602497
P(only | come,) 0.042383550146873686
P(three | only) 0.033858531679517266
P(minutes, | three) 0.03276029841063899
P(or | minutes,) 0.042383550146873686
P(it | or) 0.023581601681064674
P(won’t | it) 0.009113056031760354
P(be | won’t) 0.042383550146873686
P(legal.’ | be) 0.014673834083975011
P(half-dragged | was) 0.00842860719352416
P(up | half-dragged) 0.042383550146873686
P(altar, | the) 0.0026521019877635693
P(and | altar,) 0.042383550146873686
P(before | and) 0.004636643253913602
P(where | knew) 0.03629177146963708
P(i | where) 0.033858531679517266
P(myself | found) 0.06971904266389177
P(mumbling | myself) 0.03503295178633368
P(responses | mumbling) 0.042383550146873686
P(which | responses) 0.042383550146873686
P(whispered | were) 0.02414535022710973
P(in | whispered) 0.042383550146873686
P(ear, | my) 0.01265188525616936
P(and | ear,) 0.04067660088602497
P(for | vouching) 0.042383550146873686
P(things | for) 0.018090632276553824
P(of | things) 0.04067660088602497
P(which | of) 0.004375514447862063
P(nothing, | knew) 0.03629177146963708
P(and | nothing,) 0.042383550146873686
P(generally | and) 0.004636643253913602
P(assisting | generally) 0.042383550146873686
P(in | assisting) 0.042383550146873686
P(secure | the) 0.0026521019877635693
P(tying | secure) 0.042383550146873686
P(up | tying) 0.042383550146873686
P(of | up) 0.02026891430864941
P(adler, | irene) 0.03276029841063899
P(spinster, | adler,) 0.037644427879239654
P(to | spinster,) 0.042383550146873686
P(godfrey | to) 0.004790589574538728
P(norton, | godfrey) 0.07222421846927775
P(it | bachelor.) 0.042383550146873686
P(all | was) 0.00842860719352416
P(done | all) 0.02473671320107764
P(in | done) 0.042383550146873686
P(an | in) 0.013505341664986896
P(instant, | an) 0.023581601681064674
P(and | instant,) 0.042383550146873686
P(there | and) 0.004636643253913602
P(gentleman | the) 0.0026521019877635693
P(me | thanking) 0.042383550146873686
P(on | me) 0.02414535022710973
P(one | the) 0.0026521019877635693
P(side | one) 0.02203796639755619
P(and | side) 0.03910181958962446
P(lady | the) 0.005277945540004726
P(on | lady) 0.04067660088602497
P(other, | the) 0.005277945540004726
P(while | other,) 0.08095046314941601
P(beamed | clergyman) 0.04067660088602497
P(on | beamed) 0.042383550146873686
P(me | on) 0.02203796639755619
P(front. | in) 0.006786266209769535
P(it | front.) 0.042383550146873686
P(preposterous | most) 0.030764544623819678
P(position | preposterous) 0.04067660088602497
P(which | in) 0.006786266209769535
P(found | ever) 0.04067660088602497
P(life, | my) 0.01265188525616936
P(and | life,) 0.042383550146873686
P(thought | the) 0.0026521019877635693
P(of | thought) 0.04067660088602497
P(it | of) 0.004375514447862063
P(started | that) 0.010324031483185118
P(me | started) 0.042383550146873686
P(laughing | me) 0.02414535022710973
P(just | laughing) 0.03910181958962446
P(now. | just) 0.029855158143659476
P(it | now.) 0.03910181958962446
P(seems | it) 0.009113056031760354
P(that | seems) 0.042383550146873686
P(had | there) 0.02203796639755619
P(some | been) 0.02252955610082534
P(about | informality) 0.042383550146873686
P(their | about) 0.03276029841063899
P(license, | their) 0.0317310713163682
P(that | license,) 0.042383550146873686
P(clergyman | the) 0.0026521019877635693
P(absolutely | clergyman) 0.04067660088602497
P(refused | absolutely) 0.042383550146873686
