P(. | i) 0.008098223615464995
P(important | an) 0.005646817248459959
P(factor | important) 0.006257110352673493
P(in | factor) 0.006221719457013575
P(. | matter) 0.005952380952380953
P(lawyer | a) 0.0030153508771929827
P(. | lawyer) 0.011877828054298642
P(sounded | that) 0.004266873545384018
P(ominous | sounded) 0.006257110352673493
P(. | ominous) 0.006257110352673493
P(was | what) 0.010670731707317072
P(relation | the) 0.0020265291083271927
P(between | relation) 0.006257110352673493
P(the | what) 0.005589430894308943
P(object | the) 0.0020265291083271927
P(of | object) 0.006186726659167604
P(repeated | his) 0.004047093451066961
P(visits | repeated) 0.006257110352673493
P(? | visits) 0.006257110352673493
P(was | ?) 0.004828797190517998
P(she | was) 0.003973988439306358
P(his | she) 0.005004549590536852
P(, | client) 0.006117908787541713
P(friend | his) 0.004047093451066961
P(mistress | his) 0.004047093451066961
P(? | mistress) 0.006257110352673493
P(if | ?) 0.004828797190517998
P(the | if) 0.016078838174273857
P(former | the) 0.0020265291083271927
P(, | former) 0.006221719457013575
P(had | she) 0.009554140127388535
P(probably | had) 0.004981884057971015
P(the | transferred) 0.006257110352673493
P(to | photograph) 0.005952380952380953
P(keeping | his) 0.004047093451066961
P(. | keeping) 0.006257110352673493
P(latter | the) 0.0020265291083271927
P(, | latter) 0.006257110352673493
P(less | was) 0.003973988439306358
P(. | likely) 0.006221719457013575
P(on | .) 0.0033029254482541686
P(issue | the) 0.0020265291083271927
P(of | issue) 0.006257110352673493
P(this | of) 0.0028735632183908046
P(question | this) 0.005450941526263627
P(depended | question) 0.006186726659167604
P(whether | depended) 0.006257110352673493
P(i | whether) 0.017241379310344827
P(my | continue) 0.006257110352673493
P(work | my) 0.00462573591253154
P(at | work) 0.006117908787541713
P(briony | at) 0.009341637010676156
P(turn | or) 0.005646817248459959
P(my | turn) 0.006221719457013575
P(to | attention) 0.006186726659167604
P(s | gentleman) 0.006017505470459519
P(chambers | s) 0.005735140771637122
P(in | chambers) 0.006257110352673493
P(temple | the) 0.0038688282977155496
P(delicate | a) 0.0030153508771929827
P(point | delicate) 0.006186726659167604
P(, | point) 0.006152125279642058
P(it | and) 0.008077123501823866
P(the | widened) 0.006257110352673493
P(field | the) 0.0020265291083271927
P(of | field) 0.006257110352673493
P(inquiry | my) 0.00462573591253154
P(. | inquiry) 0.006221719457013575
P(fear | i) 0.0028735632183908046
P(that | fear) 0.006257110352673493
P(bore | i) 0.0028735632183908046
P(you | bore) 0.006257110352673493
P(with | you) 0.003973988439306358
P(these | with) 0.004745470232959448
P(, | details) 0.006257110352673493
P(i | but) 0.023415977961432504
P(to | have) 0.009554140127388535
P(my | see) 0.005888650963597431
P(little | my) 0.00462573591253154
P(difficulties | little) 0.005857294994675187
P(, | difficulties) 0.006257110352673493
P(understand | to) 0.0029745808545159546
P(the | understand) 0.006084070796460177
P(situation | the) 0.0020265291083271927
P(. | situation) 0.006221719457013575
P(following | am) 0.005765199161425576
P(you | following) 0.006221719457013575
P(closely | you) 0.003973988439306358
P(, | closely) 0.006221719457013575
P(balancing | still) 0.005984766050054407
P(the | balancing) 0.006221719457013575
P(in | matter) 0.005952380952380953
P(when | mind) 0.006084070796460177
P(a | when) 0.010892116182572614
P(hansom | a) 0.0030153508771929827
P(cab | hansom) 0.006257110352673493
P(drove | cab) 0.006152125279642058
P(up | drove) 0.006152125279642058
P(briony | to) 0.0029745808545159546
P(sprang | gentleman) 0.006017505470459519
P(out | sprang) 0.006221719457013575
P(remarkably | a) 0.0030153508771929827
P(man | handsome) 0.006221719457013575
P(, | man) 0.010725229826353423
P(dark | ,) 0.0016799022602321321
P(aquiline | ,) 0.0016799022602321321
P(, | aquiline) 0.006257110352673493
P(moustached | and) 0.00286607608129234
P(evidently | moustached) 0.006257110352673493
P(the | evidently) 0.006221719457013575
P(whom | of) 0.0028735632183908046
P(heard | had) 0.004981884057971015
P(hurry | great) 0.006152125279642058
P(, | hurry) 0.006257110352673493
P(shouted | ,) 0.0016799022602321321
P(to | shouted) 0.006186726659167604
P(cabman | the) 0.0020265291083271927
P(wait | to) 0.005678745267712277
P(, | wait) 0.006221719457013575
P(brushed | and) 0.00286607608129234
P(past | brushed) 0.006257110352673493
P(maid | the) 0.0020265291083271927
P(who | maid) 0.006221719457013575
P(opened | who) 0.005424063116370809
P(the | opened) 0.006221719457013575
P(with | door) 0.005952380952380953
P(air | the) 0.0020265291083271927
P(of | air) 0.006221719457013575
P(was | who) 0.010355029585798816
P(thoroughly | was) 0.003973988439306358
P(at | thoroughly) 0.006257110352673493
P(home | at) 0.004893238434163701
P(. | home) 0.006152125279642058
P(in | was) 0.007586705202312138
P(about | house) 0.005888650963597431
P(half | about) 0.006017505470459519
P(an | half) 0.005920344456404736
P(hour | an) 0.005646817248459959
P(catch | could) 0.005646817248459959
P(glimpses | catch) 0.006257110352673493
P(of | glimpses) 0.006257110352673493
P(in | him) 0.010780287474332649
P(windows | the) 0.0020265291083271927
P(of | windows) 0.006221719457013575
P(sitting | the) 0.0057111274871039066
P(, | room) 0.011241970021413276
P(pacing | ,) 0.0016799022602321321
P(up | pacing) 0.006221719457013575
P(, | down) 0.005675954592363261
P(talking | ,) 0.0016799022602321321
P(, | excitedly) 0.006257110352673493
P(waving | and) 0.00286607608129234
P(his | waving) 0.006257110352673493
P(arms | his) 0.004047093451066961
P(. | arms) 0.006257110352673493
P(of | .) 0.001730103806228374
P(i | her) 0.005293551491819057
P(see | could) 0.010780287474332649
P(nothing | see) 0.005888650963597431
P(. | nothing) 0.006017505470459519
P(presently | .) 0.001730103806228374
P(, | emerged) 0.006221719457013575
P(looking | ,) 0.003207086133170434
P(even | looking) 0.006186726659167604
P(more | even) 0.006186726659167604
P(flurried | more) 0.005984766050054407
P(than | flurried) 0.006257110352673493
P(before | than) 0.006017505470459519
P(. | before) 0.005888650963597431
P(stepped | he) 0.00407709414381023
P(up | stepped) 0.006221719457013575
P(cab | the) 0.0038688282977155496
P(, | cab) 0.006152125279642058
P(pulled | he) 0.00407709414381023
P(a | pulled) 0.006186726659167604
P(gold | a) 0.0030153508771929827
P(watch | gold) 0.006221719457013575
P(from | watch) 0.006117908787541713
P(pocket | his) 0.00772626931567329
P(and | pocket) 0.006221719457013575
P(at | looked) 0.006017505470459519
P(it | at) 0.004893238434163701
P(, | earnestly) 0.006257110352673493
P(drive | ,) 0.0016799022602321321
P(like | drive) 0.006186726659167604
P(the | like) 0.006084070796460177
P(devil | the) 0.0020265291083271927
P(, | devil) 0.006257110352673493
P(shouted | he) 0.00407709414381023
P(, | shouted) 0.006186726659167604
P(first | ,) 0.0016799022602321321
P(to | first) 0.006221719457013575
P(gross | to) 0.0029745808545159546
P(s | hankey) 0.006257110352673493
P(in | s) 0.005735140771637122
P(regent | in) 0.0036208031599736673
P(street | regent) 0.006257110352673493
P(to | then) 0.010304219823356232
P(church | the) 0.00939572586588062
P(of | church) 0.017146017699115043
P(st | of) 0.008098223615464995
P(monica | .) 0.0033029254482541686
P(in | monica) 0.006186726659167604
P(road | edgeware) 0.011877828054298642
P(. | road) 0.011811023622047244
P(half | .) 0.001730103806228374
P(guinea | a) 0.0030153508771929827
P(if | guinea) 0.006257110352673493
P(in | it) 0.010480054090601758
P(twenty | in) 0.01020408163265306
P(minutes | twenty) 0.01174496644295302
P(! | minutes) 0.005857294994675187
P(they | away) 0.006117908787541713
P(went | they) 0.005857294994675187
P(, | went) 0.006221719457013575
P(just | was) 0.011199421965317919
P(wondering | just) 0.005920344456404736
P(whether | wondering) 0.006257110352673493
P(not | should) 0.005888650963597431
P(do | not) 0.004981884057971015
P(well | do) 0.0055055055055055055
P(them | follow) 0.006152125279642058
P(when | them) 0.00605060506050605
P(up | when) 0.00570539419087137
P(the | up) 0.015210991167811579
P(lane | the) 0.0020265291083271927
P(came | lane) 0.006221719457013575
P(a | came) 0.006084070796460177
P(neat | a) 0.0030153508771929827
P(little | neat) 0.006257110352673493
P(landau | little) 0.011182108626198083
P(, | landau) 0.006152125279642058
P(coachman | the) 0.0020265291083271927
P(coat | his) 0.004047093451066961
P(only | coat) 0.006221719457013575
P(half | only) 0.00605060506050605
P(buttoned | half) 0.005920344456404736
P(, | buttoned) 0.006257110352673493
P(tie | his) 0.004047093451066961
P(under | tie) 0.006221719457013575
P(ear | his) 0.004047093451066961
P(, | ear) 0.011877828054298642
P(all | while) 0.006017505470459519
P(tags | the) 0.0020265291083271927
P(of | tags) 0.006257110352673493
P(harness | his) 0.004047093451066961
P(were | harness) 0.006221719457013575
P(sticking | were) 0.005675954592363261
P(out | sticking) 0.006257110352673493
P(buckles | the) 0.0020265291083271927
P(. | buckles) 0.006257110352673493
P(hadn | it) 0.007099391480730223
P(t | hadn) 0.011877828054298642
P(up | pulled) 0.011811023622047244
P(before | up) 0.005397448478900883
P(she | before) 0.005888650963597431
P(shot | she) 0.005004549590536852
P(out | shot) 0.006257110352673493
P(door | hall) 0.006186726659167604
P(and | door) 0.005952380952380953
P(into | and) 0.00286607608129234
P(it | into) 0.005561172901921133
P(only | i) 0.0028735632183908046
P(a | caught) 0.011811023622047244
P(glimpse | a) 0.005756578947368421
P(of | glimpse) 0.011877828054298642
P(at | her) 0.005293551491819057
P(moment | the) 0.0020265291083271927
P(was | she) 0.005004549590536852
P(lovely | a) 0.0030153508771929827
P(woman | lovely) 0.006257110352673493
P(face | a) 0.0030153508771929827
P(that | face) 0.006017505470459519
P(a | that) 0.004266873545384018
P(might | man) 0.0056179775280898875
P(die | might) 0.00605060506050605
P(for | die) 0.006257110352673493
P(. | for) 0.005218216318785579
P(, | monica) 0.011811023622047244
P(john | ,) 0.0016799022602321321
P(, | john) 0.006186726659167604
P(cried | she) 0.005004549590536852
P(sovereign | a) 0.00849780701754386
P(if | sovereign) 0.011811023622047244
P(reach | you) 0.007586705202312138
P(it | reach) 0.011877828054298642
P(was | this) 0.005450941526263627
P(quite | was) 0.003973988439306358
P(good | too) 0.00605060506050605
P(to | good) 0.005952380952380953
P(lose | to) 0.0029745808545159546
P(, | lose) 0.006257110352673493
P(balancing | just) 0.005920344456404736
P(whether | balancing) 0.006221719457013575
P(run | should) 0.005888650963597431
P(for | run) 0.006257110352673493
P(it | for) 0.005218216318785579
P(whether | or) 0.005646817248459959
P(perch | should) 0.005888650963597431
P(behind | perch) 0.006257110352673493
P(her | behind) 0.006186726659167604
P(landau | her) 0.005293551491819057
P(when | landau) 0.006152125279642058
P(came | cab) 0.006152125279642058
P(through | came) 0.006084070796460177
P(the | through) 0.01733780760626398
P(driver | the) 0.0020265291083271927
P(looked | driver) 0.006257110352673493
P(twice | looked) 0.006017505470459519
P(at | twice) 0.006084070796460177
P(such | at) 0.004893238434163701
P(a | such) 0.006017505470459519
P(shabby | a) 0.0030153508771929827
P(, | fare) 0.006221719457013575
P(jumped | i) 0.0028735632183908046
P(in | jumped) 0.006257110352673493
P(before | in) 0.0036208031599736673
P(he | before) 0.005888650963597431
P(object | could) 0.005646817248459959
P(. | object) 0.006186726659167604
P(twenty | was) 0.003973988439306358
P(five | twenty) 0.006152125279642058
P(to | minutes) 0.011182108626198083
P(twelve | to) 0.0029745808545159546
P(, | twelve) 0.006257110352673493
P(of | and) 0.00286607608129234
P(it | course) 0.006152125279642058
P(enough | clear) 0.006152125279642058
P(what | enough) 0.006152125279642058
P(wind | the) 0.0020265291083271927
P(. | wind) 0.006257110352673493
P(cabby | my) 0.00462573591253154
P(drove | cabby) 0.006257110352673493
P(fast | drove) 0.006152125279642058
P(. | fast) 0.006257110352673493
P(think | t) 0.005920344456404736
P(i | think) 0.006017505470459519
P(ever | i) 0.0054858934169279
P(drove | ever) 0.006186726659167604
P(faster | drove) 0.006152125279642058
P(, | faster) 0.006257110352673493
P(others | the) 0.0020265291083271927
P(there | were) 0.005675954592363261
P(before | there) 0.00537109375
P(us | before) 0.005888650963597431
P(. | us) 0.006117908787541713
P(and | cab) 0.006152125279642058
P(landau | the) 0.0020265291083271927
P(with | landau) 0.006152125279642058
P(their | with) 0.0090595340811044
P(steaming | their) 0.005984766050054407
P(horses | steaming) 0.006257110352673493
P(in | were) 0.005675954592363261
P(when | door) 0.005952380952380953
P(arrived | i) 0.0028735632183908046
P(. | arrived) 0.006257110352673493
P(paid | i) 0.0028735632183908046
P(the | paid) 0.006257110352673493
P(and | man) 0.0056179775280898875
P(hurried | and) 0.00286607608129234
P(. | church) 0.01161504424778761
P(there | soul) 0.006117908787541713
P(save | there) 0.00537109375
P(the | save) 0.006186726659167604
P(whom | two) 0.005920344456404736
P(and | followed) 0.006221719457013575
P(surpliced | a) 0.0030153508771929827
P(clergyman | surpliced) 0.006257110352673493
P(, | clergyman) 0.006152125279642058
P(seemed | who) 0.005424063116370809
P(to | seemed) 0.011877828054298642
P(expostulating | be) 0.004959422903516682
P(with | expostulating) 0.006257110352673493
P(. | them) 0.00605060506050605
P(all | were) 0.010835913312693499
P(three | all) 0.0056179775280898875
P(standing | three) 0.006017505470459519
P(in | standing) 0.006257110352673493
P(knot | a) 0.0030153508771929827
P(in | knot) 0.006221719457013575
P(altar | the) 0.0057111274871039066
P(. | altar) 0.006186726659167604
P(up | lounged) 0.006221719457013575
P(side | the) 0.0020265291083271927
P(aisle | side) 0.006084070796460177
P(like | aisle) 0.006257110352673493
P(any | like) 0.006084070796460177
P(idler | other) 0.005888650963597431
P(who | idler) 0.006257110352673493
P(dropped | has) 0.00570539419087137
P(into | dropped) 0.006221719457013575
P(a | into) 0.005561172901921133
P(suddenly | .) 0.001730103806228374
P(, | suddenly) 0.006257110352673493
P(surprise | my) 0.00462573591253154
P(, | surprise) 0.006221719457013575
P(three | the) 0.0020265291083271927
P(at | three) 0.006017505470459519
P(faced | altar) 0.006186726659167604
P(round | faced) 0.006257110352673493
P(to | round) 0.006152125279642058
P(godfrey | and) 0.00286607608129234
P(came | norton) 0.006117908787541713
P(running | came) 0.006084070796460177
P(as | running) 0.006186726659167604
P(hard | as) 0.004893238434163701
P(as | hard) 0.006257110352673493
P(towards | could) 0.005646817248459959
P(me | towards) 0.006221719457013575
P(god | thank) 0.006257110352673493
P(, | god) 0.006257110352673493
P(. | cried) 0.006117908787541713
P(ll | you) 0.003973988439306358
P(do | ll) 0.006221719457013575
P(. | do) 0.0055055055055055055
P(come | .) 0.001730103806228374
P(! | come) 0.01155115511551155
P(come | !) 0.005561172901921133
P(then | what) 0.02083333333333333
P(? | then) 0.025024533856722275
P(, | come) 0.01155115511551155
P(man | ,) 0.0016799022602321321
P(come | ,) 0.0016799022602321321
P(only | ,) 0.0016799022602321321
P(three | only) 0.00605060506050605
P(minutes | three) 0.006017505470459519
P(, | minutes) 0.005857294994675187
P(it | or) 0.005646817248459959
P(won | it) 0.0037187288708586883
P(t | won) 0.006257110352673493
P(be | t) 0.005920344456404736
P(legal | be) 0.004959422903516682
P(. | legal) 0.006221719457013575
